Substance,Source,Specific_Measure,Type_Event,Region,PRUID,Time_Period,Unit,Aggregator,Disaggregator,Value
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,Crude rate,,,7.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,Number,,,2825
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,Age-adjusted rate,,,7.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,Crude rate,,,10.7
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,Number,,,3916
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,Age-adjusted rate,,,10.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,Crude rate,,,11.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,Number,,,4388
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,Age-adjusted rate,,,11.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,Crude rate,,,10.2
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,Number,,,3831
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,Age-adjusted rate,,,10.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,Crude rate,,,16
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,Number,,,4395
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By year,Age-adjusted rate,,,16.1
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,666
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,636
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,654
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,859
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,920
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,1018
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,1051
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,922
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,1037
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,1022
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,1145
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,1164
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,1100
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,1061
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,776
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,885
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,1038
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,1646
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,Number,,,1705
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,Crude rate,,,16.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,Number,,,805
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,Age-adjusted rate,,,16.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,Crude rate,,,26.1
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,Number,,,1287
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,Age-adjusted rate,,,26
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,Crude rate,,,31.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,Number,,,1568
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,Age-adjusted rate,,,31.2
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,Crude rate,,,19.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,Number,,,1010
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,Age-adjusted rate,,,19.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,Crude rate,,,32.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,Number,,,1243
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,Age-adjusted rate,,,32.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,175
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,157
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,153
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,320
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,351
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,361
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,313
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,262
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,401
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,374
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,415
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,378
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,304
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,250
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,227
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,229
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,273
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,487
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,Number,,,483
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,Crude rate,,,14.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,Number,,,602
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,Age-adjusted rate,,,13.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,Crude rate,,,17.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,Number,,,744
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,Age-adjusted rate,,,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,Crude rate,,,18.7
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,Number,,,806
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,Age-adjusted rate,,,18.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,Crude rate,,,14.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,Number,,,627
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,Age-adjusted rate,,,14.1
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,Crude rate,,,24.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,Number,,,810
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,Age-adjusted rate,,,24.2
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,137
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,140
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,159
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,Number,,,166
